n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
10000,2.99169e+06,59468.9,2.90593e+06,2.96813e+06,2.97177e+06,2.98048e+06,3.30969e+06
20000,6.5251e+06,33391,6.50001e+06,6.51043e+06,6.51529e+06,6.52095e+06,6.70296e+06
30000,1.01304e+07,147300,9.93507e+06,1.00262e+07,1.01297e+07,1.01749e+07,1.08833e+07
40000,1.41461e+07,119266,1.39667e+07,1.40567e+07,1.41427e+07,1.41837e+07,1.45677e+07
50000,1.78862e+07,166889,1.76566e+07,1.77732e+07,1.78374e+07,1.79411e+07,1.84823e+07
60000,2.18629e+07,172540,2.16727e+07,2.17449e+07,2.17917e+07,2.19435e+07,2.2412e+07
70000,2.59569e+07,592178,2.56457e+07,2.57124e+07,2.57834e+07,2.59868e+07,3.01734e+07
80000,3.01545e+07,261739,2.98596e+07,2.99446e+07,3.00582e+07,3.03373e+07,3.10791e+07
90000,3.3984e+07,209451,3.37333e+07,3.38194e+07,3.39387e+07,3.40732e+07,3.48557e+07
100000,3.82568e+07,261628,3.78437e+07,3.80818e+07,3.81722e+07,3.83854e+07,3.93578e+07
